Year,Month,DoM,DoY,NEE_f,NEE_sqc,LE_f,LE_sqc,H_f,H_sqc,Rg_f,Rg_sqc,VPD_f,VPD_sqc,rH_f,rH_sqc,Tair_f,Tair_sqc,GPP_f,Reco
--,--,--,--,umol_m-2_s-1,--,Wm-2,--,Wm-2,--,Wm-2,--,hPa,--,%,--,degC,--,umol_m-2_s-1,umol_m-2_s-1
2023,5,27,147,-1.0451937063673,0.75,78.0228596681093,0.833333333333333,44.8950050388573,0.895833333333333,263.241458333333,1,0.537486714174137,1,96.2250720035417,1,10.0010416666667,1,2.62242584859156,1.57723214222426
2023,5,28,148,-0.862612473507646,0.895833333333333,71.618134016624,0.9375,44.5073179020074,0.916666666666667,281.708958333333,1,0.591149267121679,1,96.1092437089583,1,9.961875,1,2.58210436893752,1.71949189542988
2023,5,29,149,-0.806274089688065,0.583333333333333,81.6633193723904,0.729166666666667,55.2635433086569,0.75,319.6325,1,0.752865802228559,1,96.158508470625,1,11.5877083333333,1,2.92633010026961,2.12005601058155
2023,5,30,150,-0.547733443427829,0.4375,45.6107321954575,0.520833333333333,23.7099339493056,0.645833333333333,170.036875,1,0.407835390492709,1,97.7785659902083,1,10.7495833333333,1,2.51173602749558,1.96400258406775
2023,5,31,151,-1.00622258042531,0.708333333333333,98.1550230932122,0.8125,56.6054227556581,0.916666666666667,343.343125,1,0.608149844448693,1,96.3373418404167,1,11.2722916666667,1,3.02451466898096,2.01829208855564
2023,6,1,152,-1.03573622080466,0.75,74.9864794969761,0.833333333333333,41.4599557485021,0.875,251.236041666667,1,0.605684268129805,1,96.2585878170833,1,11.9409492753623,0.979166666666667,3.13671249978788,2.10097627898322
2023,6,2,153,-0.333545680648697,0.416666666666667,35.565759568447,0.520833333333333,22.4502628560439,0.75,120.011041666667,1,0.191089869788954,1,98.4640103495833,1,6.31041666666667,1,1.73732927307034,1.40378359242165
2023,6,3,154,-0.877567875750846,0.854166666666667,62.2938197779797,0.854166666666667,46.0929200790229,0.9375,237.44,1,0.345641245328581,1,97.14215034,1,7.02791666666667,1,2.36602476951022,1.48845689375937
2023,6,4,155,-0.722839695528999,0.708333333333333,54.7959373440702,0.8125,35.4549429040779,0.916666666666667,207.196666666667,1,0.394827351399847,1,97.1074610329167,1,9.30604166666667,1,2.51914932882313,1.79630963329413
2023,6,5,156,-0.504597308030729,0.708333333333333,43.3316458736829,0.729166666666667,28.2606023564552,0.875,172.073333333333,1,0.301963062953225,1,97.8796880595833,1,10.3739583333333,1,2.42434312588076,1.91974581785003
2023,6,6,157,-1.12945777034044,0.5625,82.384677315179,0.666666666666667,46.8840681908209,0.791666666666667,296.564583333333,1,0.687451857307104,1,96.5248544310417,1,12.4210416666667,1,3.40969951996691,2.28024174962648
2023,6,7,158,-0.874483342334149,0.625,77.4396916422094,0.708333333333333,37.6700912392246,0.875,271.48625,1,0.852192062271734,1,96.2436447679167,1,15.0733333333333,1,3.52524603999595,2.6507626976618
2023,6,8,159,-0.725525020907588,0.520833333333333,74.3919110487622,0.6875,56.5840196355874,0.875,354.385208333333,1,0.936257799899448,1,96.0026415952083,1,14.3908333333333,1,3.29629716957068,2.5707721486631
2023,6,9,160,-1.12905939632554,0.625,80.3086274569913,0.854166666666667,55.124621905862,0.8125,311.862708333333,1,0.749092504267976,1,95.9363232416667,1,14.0489583333333,1,3.56920980669807,2.44015041037253
2023,6,10,161,-0.769584755729739,0.75,53.0472707770638,0.854166666666667,49.2087611737563,0.833333333333333,246.195833333333,1,0.517669385995826,1,96.261527106875,1,9.62395833333333,1,2.58729938598465,1.81771463025492
2023,6,11,162,-0.624915310196212,0.604166666666667,74.3046696694356,0.645833333333333,74.3327455425765,0.833333333333333,372.169375,1,0.692329928151381,1,95.851751558125,1,9.60416666666667,1,2.52472592158906,1.89981061139285
2023,6,12,163,-0.450720498695728,0.5625,70.5011134531588,0.729166666666667,67.3998616256154,0.875,357.943958333333,1,0.825916973740579,1,95.655062930625,1,11.5285416666667,1,2.62833996462054,2.17761946592481
2023,6,13,164,-0.412001768241059,0.520833333333333,64.8720300561643,0.75,65.5205781189843,0.770833333333333,364.002291666667,1,0.844624524347388,1,95.9564235697917,1,12.9341666666667,1,2.77762845828277,2.36562669004171
2023,6,14,165,-0.440795175211744,0.5,69.9660435808831,0.604166666666667,65.2791670144286,0.854166666666667,365.962291666667,1,1.08984565170445,1,95.6416432985417,1,14.9610416666667,1,3.13424144229698,2.69344626708523
2023,6,15,166,-0.410466693648539,0.520833333333333,58.6784901635127,0.645833333333333,53.3530530911616,0.854166666666667,318.694583333333,1,1.13677341524913,1,95.9667239852083,1,16.854375,1,3.40439662247363,2.9939299288251
2023,6,16,167,-0.0579551378472222,0.395833333333333,63.8911190958084,0.625,51.8180098387113,0.645833333333333,316.35,1,1.2490983391452,1,95.97978437875,1,19.0002083333333,1,3.37858726501439,3.32063212716716
2023,6,17,168,-0.286399004827291,0.395833333333333,42.6333494837195,0.541666666666667,36.1001610011204,0.729166666666667,240.0925,1,0.87677803033603,1,96.9644271558333,1,18.9766666666667,1,3.56670026556889,3.2803012607416
2023,6,18,169,-0.625527696785564,0.645833333333333,44.343510956401,0.833333333333333,38.6134262090694,0.895833333333333,238.321666666667,1,0.7617958378545,1,96.6476135008333,1,17.7339583333333,1,3.6574540861854,3.03192638939983
2023,6,19,170,-0.49436533335536,0.5625,65.405207020296,0.708333333333333,62.5352501618652,0.791666666666667,358.607291666667,1,1.00767407210222,1,95.896941793125,1,16.3064583333333,1,3.3554335223191,2.86106818896374
2023,6,20,171,-0.225984713866886,0.520833333333333,67.3588951420054,0.645833333333333,58.5272986186192,0.875,316.396041666667,1,1.08899364714065,1,95.9003710858333,1,16.6433333333333,1,3.19159297133318,2.96560825746629
2023,6,21,172,-0.432466819255802,0.625,64.4463563792559,0.666666666666667,71.9471002967233,0.854166666666667,359.552083333333,1,0.97259693998236,1,96.2602264758333,1,16.6091666666667,1,3.36729349261439,2.93482667335859
2023,6,22,173,0.297584190749061,0.395833333333333,58.5002908013307,0.5,50.7865290220322,0.708333333333333,280.809375,1,1.04239984920589,1,96.65604827125,1,17.6897916666667,1,2.86038012968386,3.15796432043292
2023,6,23,174,0.130841477164502,0.729166666666667,80.1472535983502,0.8125,43.0124269726563,0.854166666666667,273.718958333333,1,0.694066292552629,1,97.380587814375,1,19.68875,1,3.25420338238853,3.38504485955303
2023,6,24,175,-0.135884442540033,0.5,64.7018048366981,0.666666666666667,55.4231657543996,0.833333333333333,294.604375,1,0.562377650279075,1,97.86370122125,1,17.8329166666667,1,3.22870886923362,3.09282442669358
2023,6,25,176,0.055350220577484,0.354166666666667,46.6153510403802,0.5625,27.8028355135345,0.708333333333333,194.522708333333,1,0.329893831306134,0.9375,98.561950383724,0.979166666666667,15.5714583333333,1,2.65788934827193,2.71323956884941
2023,6,26,177,-0.0120328261845021,0.416666666666667,59.4707781059266,0.6875,24.4810173408391,0.75,200.478541666667,1,0.320479065840813,1,98.5215379520833,1,16.125,1,2.77250275443956,2.76046992825506
2023,6,27,178,-0.571492093877559,0.395833333333333,60.8503782688839,0.5,29.1114793642235,0.5625,227.872083333333,1,0.511978965450838,1,97.7864424222917,1,16.6860416666667,1,3.40530808519661,2.83381599131905
2023,6,28,179,0.239469556950823,0.4375,36.9180023908392,0.5625,11.9657763291186,0.75,119.726458333333,1,0.283711997927867,1,98.481211773125,1,14.5235416666667,1,2.21365584585782,2.45312540280864
2023,6,29,180,0.0381707605686908,0.125,38.8475313513719,0.208333333333333,11.601324433387,0.208333333333333,119.842083333333,1,0.142768550307957,1,99.21317435375,1,14.6508333333333,1,2.4016978856364,2.43986864620509
2023,6,30,181,-0.46957374238807,0.25,39.4607361737554,0.333333333333333,17.8696102717706,0.4375,145.494791666667,1,0.173289057542182,1,99.046617475,1,14.60875,1,2.88158088675993,2.41200714437186
2023,7,1,182,-0.535318318417002,0.791666666666667,74.1642076505204,0.770833333333333,36.6045607933991,0.791666666666667,270.554583333333,1,0.630526064232201,1,97.5477227995833,1,18.3775,1,3.51785022300578,2.98253190458878
2023,7,2,183,-0.725236437857132,0.916666666666667,78.7965014468599,0.958333333333333,48.1384829338814,0.958333333333333,295.714375,1,0.777613296067211,1,96.5919698025,1,18.0497916666667,1,3.57714137385654,2.8519049359994
2023,7,3,184,-0.613671263012139,0.875,89.9746291044871,0.916666666666667,50.6828924930888,0.916666666666667,297.252708333333,1,0.749460233426835,1,96.4850814897917,1,17.1391666666667,1,3.23663528034285,2.62296401733072
2023,7,4,185,-0.385043702044955,0.8125,44.6850330315663,0.9375,19.8874286205769,0.895833333333333,180.74203125,0.979166666666667,0.676784162313404,0.958333333333333,96.6698782223332,0.958333333333333,17.1789583333333,1,2.95135431167776,2.5663106096328
2023,7,5,186,-0.750023290680485,0.541666666666667,75.9343905089205,0.604166666666667,47.1401726354385,0.854166666666667,303.221875,1,0.757886944484689,1,97.1445615304167,1,17.3872916666667,1,3.30959756389083,2.55957427321035
2023,7,6,187,-0.199302026829225,0.479166666666667,51.2617644168893,0.5625,39.7146458962931,0.833333333333333,281.292916666667,1,0.850550996644984,1,97.1861292825,1,18.6272916666667,1,2.90216406893165,2.70286204210243
