TIMESTAMP_1,Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,P_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,mm
2023-09-22 1800,21.32,94.91911766,100.83,326.88,400.99,100.83,18.76,0
2023-09-22 1830,19.12,96.04376549,41.67,323.09,389.75,41.67,6.24,0
2023-09-22 1900,17.15,97.0530533,4.14,320.14,379.1,4.14,0.24,0
2023-09-22 1930,15.38,97.97727743,0,317.39,370.66,0,-0.92,0
2023-09-22 2000,13.67,98.89612333,0,315.07,365,0,-0.84,0
2023-09-22 2030,13,99.07290635,0,313.75,362.27,0,-0.34,0
2023-09-22 2100,12.49,99.13331417,0,313.07,360.37,0,-0.09,0
2023-09-22 2130,12.31,99.04613741,0,311.48,358.44,0,-0.23,0
2023-09-22 2200,11.43,99.3888099,0,310.31,355.22,0,-0.64,0
2023-09-22 2230,12.13,98.75443099,0,309.09,355.43,0,0.52,0
2023-09-22 2300,12.41,98.35754328,0,309,355.51,0,0,0
2023-09-22 2330,12.17,98.45092503,0,308.33,354.39,0,0,0
2023-09-23 0000,12.23,98.40580215,0,307.99,354.09,0,0.02,0
