TIMESTAMP_1,_Ta_1_1_1,RH_1_1_1,Rg_1_1_1,Lwin_1_1_1,Lwout_1_1_1,Swin_1_1_1,Swout_1_1_1,PPFD_1_1_1,P_1_1_1,P_rain_1_1_1
yyyy-mm-dd HHMM,C,%,W+1m-2,W+1m-2,W+1m-2,W+1m-2,W+1m-2,umol+1m-2s-1,mm,mm
2015-11-07 1530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 1930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-07 2330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0300,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0330,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0400,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0430,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0500,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0530,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0600,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0630,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0700,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0730,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0800,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0830,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0900,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 0930,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 1000,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 1030,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 1100,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 1130,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 1200,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015-11-08 1230,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
