DoY,u*,H,lE,NEE,PPFD,Ta,VPD,PPFD_gapfilling,Ta_gapfilling,VPD_gapfilling,period
--,m s-1,W m-2,-,umol m-2 s-1,umol m-2 s-1,oC,kPa,umol m-2 s-1,oC,kPa,--
4.28,0.209735,-4.35441,5.6753,0.24380800000000002,114.57446808510639,-2.59,0.0,114.57446808510639,-2.59,0.0,1
4.29,0.188494,-2.93341,3.74275,0.07619999999999999,82.3404255319149,-2.49,0.0,82.3404255319149,-2.49,0.0,1
4.3,0.140124,-3.7173,-99999.0,0.424978,72.1063829787234,-2.51,0.0,72.1063829787234,-2.51,0.0,1
4.31,0.0812,-2.2491,-3.28485,-99999.0,52.51063829787234,-2.57,0.0,52.51063829787234,-2.57,0.0,1
4.32,0.131184,0.825003,-99999.0,-99999.0,34.97872340425533,-99999.0,-99999.0,34.97872340425533,-2.5,0.0,1
4.33,0.0947,1.17439,-99999.0,-99999.0,10.127659574468085,-99999.0,-99999.0,10.127659574468085,-2.43,0.0,1
4.34,0.0855,-2.52059,-99999.0,-99999.0,0.5106382978723404,-99999.0,-99999.0,0.5106382978723404,-2.36,0.0,1
4.35,0.224816,-5.44238,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
4.36,0.24983,-4.82957,-99999.0,-99999.0,0.0,-2.22,0.0,0.0,-2.22,0.0,1
4.37,0.259599,-10.712,6.68688,0.07034999999999991,0.0,-2.54,0.0,0.0,-2.54,0.0,1
4.38,0.249187,-15.6167,-0.544033,0.115064,0.0,-2.92,0.0,0.0,-2.92,0.0,1
4.39,0.197996,-17.4556,-2.5618,0.130732,0.0,-3.29,0.0,0.0,-3.29,0.0,1
4.4,0.183997,-13.9792,-1.15555,0.19157400000000002,0.0,-3.49,0.0,0.0,-3.49,0.0,1
4.41,0.172336,-9.88593,3.20287,0.237018,0.0,-3.41,0.0,0.0,-3.41,0.0,1
4.42,0.2035,-7.02163,3.47125,0.163097,0.0,-3.38,0.0,0.0,-3.38,0.0,1
4.43,0.170296,-5.91247,2.19186,0.144437,0.0,-3.3,0.0,0.0,-3.3,0.0,1
4.44,0.19591,-9.99877,2.46278,0.184587,0.0,-3.24,0.0,0.0,-3.24,0.0,1
4.45,0.224122,-10.0371,1.94928,0.150938,0.0,-3.21,0.0,0.0,-3.21,0.0,1
4.46,0.189428,-8.32691,1.0769,0.106064,0.0,-3.27,0.0,0.0,-3.27,0.0,1
4.47,0.178934,-9.58229,-0.768517,0.158659,0.0,-3.4,0.0,0.0,-3.4,0.0,1
5.0,0.17844,-5.83843,0.189131,0.12576600000000002,0.0,-3.41,0.0,0.0,-3.41,0.0,1
5.01,0.148377,-4.25317,0.482626,0.158496,0.0,-3.48,0.0,0.0,-3.48,0.0,1
5.02,0.129348,-2.77578,0.959246,0.16314,0.0,-3.49,0.0,0.0,-3.49,0.0,1
5.03,0.109161,-3.3849,2.97514,-99999.0,0.0,-3.54,0.0,0.0,-3.54,0.0,1
5.04,0.157012,-4.3351,-99999.0,0.20312100000000002,0.0,-3.6,0.0,0.0,-3.6,0.0,1
5.05,0.100614,-99999.0,-99999.0,0.9916750000000001,0.0,-3.93,0.0,0.0,-3.93,0.0,1
5.06,0.0592,-1.4239,4.70886,-99999.0,0.0,-4.26,0.0,0.0,-4.26,0.0,1
5.07,0.0696,-2.72886,-0.756322,0.309422,0.0,-4.61,0.0,0.0,-4.61,0.0,1
5.08,0.0795,-2.96454,-99999.0,-99999.0,0.0,-4.84,0.0,0.0,-4.84,0.0,1
5.09,0.0375,-2.51198,-1.07721,-99999.0,0.0,-5.28,0.0,0.0,-5.28,0.0,1
5.1,0.0276,1.27936,-99999.0,-99999.0,0.0,-5.51,0.0,0.0,-5.51,0.0,1
5.11,0.0446,-1.88578,-0.476813,0.385165,0.0,-99999.0,-99999.0,0.0,-5.616,0.0,1
5.12,0.043,-99999.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,0.0,-5.7219999999999995,0.0,1
5.13,0.0327,-1.21882,-0.797123,0.237011,0.0,-99999.0,-99999.0,0.0,-5.828,0.0,1
5.14,0.0401,-2.02307,-1.07353,0.716644,0.0,-99999.0,-99999.0,0.0,-99999.0,-99999.0,1
5.15,0.0767,-2.80923,-0.731561,0.0011499999999999991,0.0,-6.04,0.0,0.0,-6.04,0.0,1
5.16,0.105642,-2.09032,-99999.0,0.08080000000000001,0.0,-5.95,0.0,0.0,-5.95,0.0,1
5.17,0.132822,-4.56882,-0.245313,0.181037,0.0,-6.07,0.0,0.0,-6.07,0.0,1
5.18,0.126945,-3.36597,-99999.0,0.14423,0.0,-6.2,0.0,0.0,-6.2,0.0,1
5.19,0.178156,-3.12491,0.352614,0.138475,1.2127659574468084,-6.29,0.0,1.2127659574468084,-6.29,0.0,1
5.2,0.15395,-1.09807,1.20413,0.161041,13.595744680851064,-6.35,0.0,13.595744680851064,-6.35,0.0,1
5.21,0.170622,-1.0647,1.75381,0.0706,35.829787234042556,-6.36,0.0,35.829787234042556,-6.36,0.0,1
5.22,0.221927,2.2138,4.49889,0.550178,49.97872340425532,-6.53,0.0,49.97872340425532,-6.53,0.0,1
